age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
21,Male,Brazil,1.7265044536460756,Twitter,3,Entertainment,19.369365492440423,1,9.370955344761706,Low,39.64783330390649
26,Male,USA,4.673764537831465,Snapchat,4,Entertainment,8.36846936499282,1,4.495405539906799,Medium,25.9705938024413
13,Female,Australia,4.614494578884538,YouTube,2,Content Creation,23.69462005058649,0,4.710256305211681,Medium,32.4578139691012
19,Female,India,2.109605339912568,YouTube,1,Entertainment,44.3534454509801,1,8.069482587927324,Low,38.55927191582157
22,Male,India,1.0328031342514703,YouTube,4,Socializing,22.130789773560675,1,9.88852390537042,Low,36.66788364900013
26,Female,Germany,2.4077761696521423,Instagram,2,Entertainment,29.184547243859303,1,5.318467540250081,Low,33.27529876247286
17,Male,India,3.1630356092535368,YouTube,4,Entertainment,32.668313026192095,0,6.6885984752903465,Medium,39.517617441339794
14,Female,Canada,8.147156644578425,Instagram,5,Education,17.252268572985148,1,2.8012979951537678,High,38.16549915505288
22,Female,India,3.847294360786944,YouTube,2,Entertainment,42.4428700516513,1,8.088693064341406,Medium,87.7270456187951
21,Female,India,3.273442889517604,Instagram,1,Education,27.64473397402201,1,8.711436209519826,Medium,41.29683160763752
13,Male,Brazil,4.280845645733917,YouTube,2,Entertainment,37.8471064490394,0,6.947872576859636,Medium,18.100323503099183
21,Male,India,3.3260680384081533,Instagram,2,Education,43.26220280113068,1,7.074246503898489,Medium,15.864627691940804
13,Male,India,3.122476775333852,TikTok,1,Entertainment,46.693086024712144,0,6.174314378853335,Medium,13.40721121315427
18,Male,UK,3.651883381024107,Snapchat,1,Socializing,36.30601949575318,1,7.168317378729582,Medium,35.13656713334218
25,Female,USA,4.501720773280041,Instagram,3,Entertainment,31.804740156075518,1,4.643211063791577,Medium,29.17161287485567
13,Male,Brazil,3.883887383203899,Twitter,1,Entertainment,30.462866432015048,1,7.585667710750559,Medium,46.11071761902129
19,Male,Germany,3.896278152985296,Twitter,5,Entertainment,27.30510698643945,1,6.409478116466603,Medium,42.83495582184376
13,Male,USA,4.561368229930756,Snapchat,2,Entertainment,14.84553163791748,0,7.021478454771399,Medium,58.96893977100518
25,Male,Germany,3.4976775603621637,Instagram,1,Education,33.680354286507864,0,7.399556410123046,Medium,37.58467583577515
25,Male,Germany,3.3904374664238714,Instagram,1,Socializing,34.83309669676598,0,4.865553763133219,Medium,1.1394027319084472
16,Other,USA,0.5,Instagram,3,Socializing,22.84763956644886,0,10.0,Low,55.26833805075017
23,Male,India,3.0181670289235125,TikTok,1,Education,13.801650496565784,1,6.2550024291038495,Medium,13.140118012362848
25,Female,USA,5.384108762876688,YouTube,5,Entertainment,35.97122351356479,0,6.4933454822222645,High,55.8856868349289
15,Male,Canada,5.453379879321709,YouTube,5,Education,34.990941634875846,1,6.412818755076664,High,33.03865085197824
14,Female,India,4.0163967419965205,Instagram,5,Education,33.105429103274254,1,6.162212084303695,Medium,76.17722502932736
21,Male,Germany,1.805837471775817,Instagram,2,Entertainment,34.72435589381435,1,8.358853186423191,Low,62.07735942324392
19,Male,USA,4.45013324208727,TikTok,1,Entertainment,19.89982000855175,0,5.553565660520903,Medium,45.8842095922989
24,Male,India,3.1460419028320774,YouTube,5,Education,20.91992816704097,1,5.550623777684618,Medium,37.31843763494796
25,Female,USA,4.730564436718687,TikTok,5,Socializing,34.63079215402741,1,7.478056847917483,Medium,33.44388852750961
23,Male,India,3.174249280357923,Instagram,4,Socializing,18.77657082863772,1,5.113461359003701,Medium,47.18837644515008
20,Male,India,4.097461165801613,YouTube,1,Socializing,30.795070891925327,1,8.688029773967218,Medium,50.4215579388845
22,Male,Canada,2.5635023453353174,Snapchat,4,News,30.897117228645765,0,7.131731324992055,Medium,53.99442701077101
24,Male,UK,1.2352780434698665,Snapchat,4,Education,39.15508599724657,0,8.512641764827368,Low,51.88283736101472
16,Female,USA,5.685386777637287,Twitter,3,Socializing,32.46472622337383,1,6.63311126321641,High,47.71486422270657
19,Male,Brazil,2.3555753551411795,YouTube,3,Education,14.264460508121202,0,10.0,Low,62.08582685285623
